expId,numRuns,dataset,dataTransform,lossCriterion,metric,numLayers,hiddenDim,attnHeads,mulLastAttHead,activation,weightSharing,optimizer,maxEpochs,initialLR,attnDropout,wghtDecay,initScheme,balanceAtInit,numBalanceIters,rebalanceInterval,balScheme,adaptLR,gradClipNormVal,layerToScaleDownAtInit,scaler,Note
1,10,roman-empire,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,,,,,3,,,
2,10,amazon-ratings,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,,,,,3,,,
3,10,tolokers,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,,,,,3,,,
4,10,questions,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,,,,,3,,,
5,10,minesweeper,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,,,,,3,,,
6,10,roman-empire,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
7,10,amazon-ratings,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
8,10,tolokers,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
9,10,questions,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
10,10,minesweeper,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
11,10,roman-empire,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
12,10,amazon-ratings,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
13,10,tolokers,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
14,10,questions,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
15,10,minesweeper,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.01,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
16,10,roman-empire,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,,,,,3,,,
17,10,amazon-ratings,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,,,,,3,,,
18,10,tolokers,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,,,,,3,,,
19,10,questions,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,,,,,3,,,
20,10,minesweeper,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,,,,,3,,,
21,10,roman-empire,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
22,10,amazon-ratings,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
23,10,tolokers,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
24,10,questions,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
25,10,minesweeper,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqRelGradNorms,,3,,,
26,10,roman-empire,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
27,10,amazon-ratings,,CEL,Accuracy,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
28,10,tolokers,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
29,10,questions,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
30,10,minesweeper,,CEL,AUROC,5,64,1,0,relu,1,Adam,10000,0.001,0,0,LLortho,0,10,10,sqParamNorms,,3,,,
